R,R_min,R_max,R_avg
(1, 2),3.303324,3.306412,3.304422
(1, 3),6.073,6.076824,6.074277
(1, 4),7.767671,7.769699,7.767915
(1, 5),6.074294,6.07709,6.075635
(1, 6),3.616802,3.622555,3.618065
(1, 7),2.262547,2.263273,2.26285
(1, 8),3.040674,3.043794,3.041802
(2, 3),3.89923,3.901989,3.900529
(2, 4),5.671659,5.674273,5.672218
(2, 5),4.058921,4.062115,4.059324
(2, 6),2.447402,2.449578,2.447737
(2, 7),3.65368,3.6564,3.654053
(2, 8),5.282684,5.285167,5.283745
(3, 4),2.876478,2.878341,2.877101
(3, 5),2.313048,2.31458,2.31324
(3, 6),3.965746,3.967077,3.966484
(3, 7),6.170109,6.173369,6.170994
(3, 8),7.918975,7.921527,7.919663
(4, 5),2.969747,2.97072,2.969979
(4, 6),5.56247,5.565805,5.563758
(4, 7),7.848527,7.850358,7.848989
(4, 8),9.610601,9.61657,9.612523
(5, 6),3.754794,3.756615,3.755554
(5, 7),6.130666,6.132792,6.13131
(5, 8),7.900052,7.903162,7.900992
(6, 7),3.450122,3.451923,3.45061
(6, 8),5.329234,5.330774,5.329542
(7, 8),2.952436,2.958956,2.954454